0 2.856e-07
1 1.512e-07
2 2.096e-07
3 2.086e-07
4 2.698e-07
5 3.788e-07
6 5.074e-07
7 7.382e-07
8 1.0928e-06
9 1.599e-06
10 2.4596e-06
11 3.8526e-06
12 6.078e-06
13 9.6922e-06
14 1.44386e-05
15 2.0433e-05
16 3.66042e-05
17 4.68404e-05
18 7.15016e-05
19 0.000113647
20 0.000181842
21 0.000291334
22 0.000485881
23 0.000766585
24 0.00061927
25 0.000491851
26 0.000754886
27 0.0013577
28 0.00209638
29 0.00339488
30 0.00540311
31 0.00876756
32 0.0143048
33 0.0226266
34 0.036777
35 0.0581737
36 0.0948025
37 0.158607
38 0.260101
39 0.40173
40 0.654265
41 1.06958
42 1.70722
43 2.74853
44 4.60926
45 7.51057
46 11.6822
47 18.6488
48 30.9733
49 52.57
50 83.3349
